model,display_name,lab,family,release_date,condition,condition_family,n_valid,eligible_cells,excluded_small_cells,owned_rate,relocated_or_partial_rate,recited_not_owned_rate,indeterminate_rate,uncodeable_rate,n_owned,n_relocated_or_partial,n_recited_not_owned,n_indeterminate,n_uncodeable,label
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,G1,cache_broken_stated_values,30,1,0,56.666666666666664,26.666666666666668,16.666666666666668,0.0,0.0,17,8,5,0,0,partially_open
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,G2,cache_broken_stated_values,30,1,0,43.333333333333336,33.333333333333336,23.333333333333332,0.0,0.0,13,10,7,0,0,partially_open
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,CTRL1,direct_stated_values,110,11,0,0.0,0.0,100.0,0.0,0.0,0,0,110,0,0,strongly_clamped
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,CTRL2,direct_stated_values,110,11,0,0.9090909090909091,0.9090909090909091,98.18181818181819,0.0,0.0,1,1,108,0,0,strongly_clamped
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,G1,cache_broken_stated_values,330,11,0,10.303030303030303,58.787878787878796,30.90909090909091,0.0,0.0,34,194,102,0,0,partially_open
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,G2,cache_broken_stated_values,330,11,0,26.36363636363636,55.45454545454545,17.575757575757578,0.30303030303030304,0.30303030303030304,87,183,58,1,1,partially_open
